"Description", "Billable", "Duration", "Member"   , "Email"                 , "Project", "Tags", "Start date", "Start time", "Stop date" , "Stop time"
"-"          , "No"      , "2:40:38" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-05", "14:13:33"  , "2026-06-05", "16:54:11"
"-"          , "No"      , "3:47:47" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-05", "09:25:43"  , "2026-06-05", "13:13:30"
"-"          , "No"      , "4:03:09" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-04", "18:46:41"  , "2026-06-04", "22:49:50"
"-"          , "No"      , "8:31:26" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-04", "09:15:13"  , "2026-06-04", "17:46:39"
"-"          , "No"      , "2:16:02" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-03", "21:07:45"  , "2026-06-03", "23:23:47"
"-"          , "No"      , "11:11:52", "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-03", "09:15:46"  , "2026-06-03", "20:27:38"
"-"          , "No"      , "6:51:43" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-02", "13:01:42"  , "2026-06-02", "19:53:25"
"-"          , "No"      , "6:40:09" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-02", "06:01:55"  , "2026-06-02", "12:42:04"
"-"          , "No"      , "1:05:31" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-01", "21:32:05"  , "2026-06-01", "22:37:36"
"-"          , "No"      , "9:30:06" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-06-01", "10:16:30"  , "2026-06-01", "19:46:36"
"-"          , "No"      , "6:12:07" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-29", "06:39:18"  , "2026-05-29", "12:51:25"
"-"          , "No"      , "5:20:43" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-28", "13:47:44"  , "2026-05-28", "19:08:27"
"-"          , "No"      , "4:36:07" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-28", "07:28:46"  , "2026-05-28", "12:04:53"
"-"          , "No"      , "3:00:00" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-27", "14:27:06"  , "2026-05-27", "17:27:06"
"-"          , "No"      , "6:25:05" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-27", "07:06:49"  , "2026-05-27", "13:31:54"
"-"          , "No"      , "5:28:03" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-26", "13:08:28"  , "2026-05-26", "18:36:31"
"-"          , "No"      , "3:37:41" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-26", "08:19:53"  , "2026-05-26", "11:57:34"
"-"          , "No"      , "2:02:27" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-13", "13:57:49"  , "2026-05-13", "16:00:16"
"-"          , "No"      , "4:42:58" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-13", "09:03:52"  , "2026-05-13", "13:46:50"
"-"          , "No"      , "12:19:16", "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-12", "13:05:12"  , "2026-05-13", "01:24:28"
"-"          , "No"      , "2:51:11" , "Guillaume", "myname@company.com", "-"      , "-"   , "2026-05-12", "09:22:00"  , "2026-05-12", "12:13:11"
